id,name,region,msa_id,msa
5909052,Abbotsford,British Columbia,932,Abbotsford - Mission
5909056,Mission,British Columbia,932,Abbotsford - Mission
5909877,Upper Sumas 6,British Columbia,932,Abbotsford - Mission
5909878,Matsqui Main 2,British Columbia,932,Abbotsford - Mission
2493042,Alma,Quebec,410,Alma
2493045,Saint-Nazaire,Quebec,410,Alma
2488050,Saint-Mathieu-d'Harricana,Quebec,481,Amos
2488055,Amos,Quebec,481,Amos
2488060,Saint-Felix-de-Dalquier,Quebec,481,Amos
2488065,Saint-Dominique-du-Rosaire,Quebec,481,Amos
2488075,Trecesson,Quebec,481,Amos
2488085,Sainte-Gertrude-Manneville,Quebec,481,Amos
2488802,Pikogan,Quebec,481,Amos
2496015,Franquelin,Quebec,406,Baie-Comeau
2496020,Baie-Comeau,Quebec,406,Baie-Comeau
2496025,Pointe-Lebel,Quebec,406,Baie-Comeau
2496030,Pointe-aux-Outardes,Quebec,406,Baie-Comeau
2496035,Chute-aux-Outardes,Quebec,406,Baie-Comeau
2496040,Ragueneau,Quebec,406,Baie-Comeau
3543009,Springwater,Ontario,568,Barrie
3543017,Innisfil,Ontario,568,Barrie
3543042,Barrie,Ontario,568,Barrie
1314025,Belledune,New Brunswick,328,Bathurst
1315008,Bathurst,New Brunswick,328,Bathurst
1315010,Pabineau 11,New Brunswick,328,Bathurst
1315011,Bathurst,New Brunswick,328,Bathurst
1315012,Beresford,New Brunswick,328,Bathurst
1315013,Pointe-Verte,New Brunswick,328,Bathurst
1315014,Petit-Rocher,New Brunswick,328,Bathurst
1315015,Beresford,New Brunswick,328,Bathurst
1315037,Nigadoo,New Brunswick,328,Bathurst
1001385,Upper Island Cove,Newfoundland,5,Bay Roberts
1001394,Bishop's Cove,Newfoundland,5,Bay Roberts
1001396,Spaniard's Bay,Newfoundland,5,Bay Roberts
1001409,Bay Roberts,Newfoundland,5,Bay Roberts
1001426,North River,Newfoundland,5,Bay Roberts
3512005,Belleville,Ontario,522,Belleville
3512015,Quinte West,Ontario,522,Belleville
4607057,Whitehead,Manitoba,610,Brandon
4607060,Cornwallis,Manitoba,610,Brandon
4607062,Brandon,Manitoba,610,Brandon
4607071,Elton,Manitoba,610,Brandon
3529005,Brant,Ontario,543,Brantford
3529006,Brantford,Ontario,543,Brantford
3529020,Six Nations (Part) 40,Ontario,543,Brantford
3507006,Augusta,Ontario,512,Brockville
3507014,Elizabethtown-Kitley,Ontario,512,Brockville
3507015,Brockville,Ontario,512,Brockville
4802031,Newell County No. 4,Alberta,806,Brooks
4802034,Brooks,Alberta,806,Brooks
4802036,Duchess,Alberta,806,Brooks
4802038,Rosemary,Alberta,806,Brooks
4802039,Bassano,Alberta,806,Brooks
4806014,Rocky View County,Alberta,825,Calgary
4806016,Calgary,Alberta,825,Calgary
4806017,Chestermere,Alberta,825,Calgary
4806019,Cochrane,Alberta,825,Calgary
4806021,Airdrie,Alberta,825,Calgary
