id,name,region,msa_id,msa
1015,Calhoun,Alabama,11500,Anniston-Oxford-Jacksonville
1081,Lee,Alabama,12220,Auburn-Opelika
1007,Bibb,Alabama,13820,Birmingham-Hoover
1009,Blount,Alabama,13820,Birmingham-Hoover
1021,Chilton,Alabama,13820,Birmingham-Hoover
1073,Jefferson,Alabama,13820,Birmingham-Hoover
1115,St. Clair,Alabama,13820,Birmingham-Hoover
1117,Shelby,Alabama,13820,Birmingham-Hoover
1127,Walker,Alabama,13820,Birmingham-Hoover
1113,Russell,Alabama,17980,Columbus
1003,Baldwin,Alabama,19300,Daphne-Fairhope-Foley
1079,Lawrence,Alabama,19460,Decatur
1103,Morgan,Alabama,19460,Decatur
1061,Geneva,Alabama,20020,Dothan
1067,Henry,Alabama,20020,Dothan
1069,Houston,Alabama,20020,Dothan
1033,Colbert,Alabama,22520,Florence-Muscle Shoals
1077,Lauderdale,Alabama,22520,Florence-Muscle Shoals
1055,Etowah,Alabama,23460,Gadsden
1083,Limestone,Alabama,26620,Huntsville
1089,Madison,Alabama,26620,Huntsville
1097,Mobile,Alabama,33660,Mobile
1001,Autauga,Alabama,33860,Montgomery
1051,Elmore,Alabama,33860,Montgomery
1085,Lowndes,Alabama,33860,Montgomery
1101,Montgomery,Alabama,33860,Montgomery
1065,Hale,Alabama,46220,Tuscaloosa
1107,Pickens,Alabama,46220,Tuscaloosa
1125,Tuscaloosa,Alabama,46220,Tuscaloosa
2020,Anchorage Municipality,Alaska,11260,Anchorage
2170,Matanuska-Susitna Borough,Alaska,11260,Anchorage
2090,Fairbanks North Star Borough,Alaska,21820,Fairbanks
4005,Coconino,Arizona,22380,Flagstaff
4015,Mohave,Arizona,29420,Lake Havasu City-Kingman
4013,Maricopa,Arizona,38060,Phoenix-Mesa-Scottsdale
4021,Pinal,Arizona,38060,Phoenix-Mesa-Scottsdale
4025,Yavapai,Arizona,39140,Prescott
4003,Cochise,Arizona,43420,Sierra Vista-Douglas
4019,Pima,Arizona,46060,Tucson
4027,Yuma,Arizona,49740,Yuma
5007,Benton,Arkansas,22220,Fayetteville-Springdale-Rogers
5087,Madison,Arkansas,22220,Fayetteville-Springdale-Rogers
5143,Washington,Arkansas,22220,Fayetteville-Springdale-Rogers
5033,Crawford,Arkansas,22900,Fort Smith
5131,Sebastian,Arkansas,22900,Fort Smith
5051,Garland,Arkansas,26300,Hot Springs
5031,Craighead,Arkansas,27860,Jonesboro
5111,Poinsett,Arkansas,27860,Jonesboro
5045,Faulkner,Arkansas,30780,Little Rock-North Little Rock-Conway
5053,Grant,Arkansas,30780,Little Rock-North Little Rock-Conway
5085,Lonoke,Arkansas,30780,Little Rock-North Little Rock-Conway
5105,Perry,Arkansas,30780,Little Rock-North Little Rock-Conway
5119,Pulaski,Arkansas,30780,Little Rock-North Little Rock-Conway
5125,Saline,Arkansas,30780,Little Rock-North Little Rock-Conway
5035,Crittenden,Arkansas,32820,Memphis
5025,Cleveland,Arkansas,38220,Pine Bluff
5069,Jefferson,Arkansas,38220,Pine Bluff
5079,Lincoln,Arkansas,38220,Pine Bluff
5081,Little River,Arkansas,45500,Texarkana
5091,Miller,Arkansas,45500,Texarkana
6029,Kern,California,12540,Bakersfield
6007,Butte,California,17020,Chico
6025,Imperial,California,20940,El Centro
6019,Fresno,California,23420,Fresno
6031,Kings,California,25260,Hanford-Corcoran
6037,Los Angeles,California,31080,Los Angeles-Long Beach-Anaheim
6059,Orange,California,31080,Los Angeles-Long Beach-Anaheim
6039,Madera,California,31460,Madera
6047,Merced,California,32900,Merced
6099,Stanislaus,California,33700,Modesto
6055,Napa,California,34900,Napa
6111,Ventura,California,37100,Oxnard-Thousand Oaks-Ventura
6089,Shasta,California,39820,Redding
6065,Riverside,California,40140,Riverside-San Bernardino-Ontario
6071,San Bernardino,California,40140,Riverside-San Bernardino-Ontario
